"","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","esgRank.env","esgRank.soc","esgRank.gov","conRating","conLevel","conAreas","asOf","mktCap"
"1","MMM","3M Company","Industrials","Industrial Conglomerates","High",35,12.8,14,8.4,0.74,NA,NA,NA,NA,NA,NA,2021-03-03,102564405248
"2","ABT","Abbott Laboratories","Health Care","Health Care Equipment","Medium",30,3,16.2,10.6,0.56,NA,NA,NA,NA,NA,NA,2021-03-03,217065570304
"3","ABBV","AbbVie Inc.","Health Care","Pharmaceuticals","Medium",29,0.6,17.1,11.3,0.54,NA,NA,NA,NA,NA,NA,2021-03-03,190450155520
"4","ABMD","Abiomed","Health Care","Health Care Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14714096640
"5","ACN","Accenture","Information Technology","IT Consulting & Other Services","Low",11,0.6,5,5.8,0.02,NA,NA,NA,NA,NA,NA,2021-03-03,171386028032
"6","ATVI","Activision Blizzard","Communication Services","Interactive Home Entertainment","Low",17,0.2,10.7,6.2,0.12,NA,NA,NA,NA,NA,NA,2021-03-03,74957447168
"7","ADBE","Adobe Inc.","Information Technology","Application Software","Low",11,0.5,5.7,4.7,0.02,NA,NA,NA,NA,NA,NA,2021-03-03,223356633088
"8","AMD","Advanced Micro Devices","Information Technology","Semiconductors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101908357120
"9","AAP","Advance Auto Parts","Consumer Discretionary","Automotive Retail","Low",12,0.1,8.7,3.3,0.03,NA,NA,NA,NA,NA,NA,2021-03-03,10801041408
"10","AES","AES Corp","Utilities","Independent Power Producers & Energy Traders","High",33,18.8,8.8,5.8,0.69,NA,NA,NA,NA,NA,NA,2021-03-03,17841518592
"11","AFL","Aflac","Financials","Life & Health Insurance","Medium",23,2.5,7.9,12.9,0.32,NA,NA,NA,NA,NA,NA,2021-03-03,33492871168
"12","A","Agilent Technologies","Health Care","Health Care Equipment","Low",17,0.9,9.4,6.3,0.11,NA,NA,NA,NA,NA,NA,2021-03-03,37758296064
"13","APD","Air Products & Chemicals","Materials","Industrial Gases","Low",11,6.1,1.4,3.7,0.02,NA,NA,NA,NA,NA,NA,2021-03-03,58859679744
"14","AKAM","Akamai Technologies","Information Technology","Internet Services & Infrastructure","Medium",21,2,11.8,7.5,0.25,NA,NA,NA,NA,NA,NA,2021-03-03,15646269440
"15","ALK","Alaska Air Group","Industrials","Airlines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8090098688
"16","ALB","Albemarle Corporation","Materials","Specialty Chemicals","High",37,19.1,8.9,8.7,0.78,NA,NA,NA,NA,NA,NA,2021-03-03,17928671232
"17","ARE","Alexandria Real Estate Equities","Real Estate","Office REITs","Low",15,2,7.4,6,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,21987067904
"18","ALXN","Alexion Pharmaceuticals","Health Care","Pharmaceuticals","Low",19,0.1,12,6.8,0.17,NA,NA,NA,NA,NA,NA,2021-03-03,33058543616
"19","ALGN","Align Technology","Health Care","Health Care Supplies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44568330240
"20","ALLE","Allegion","Industrials","Building Products","Medium",22,11.1,4.2,6.6,0.27,NA,NA,NA,NA,NA,NA,2021-03-03,10233696256
"21","LNT","Alliant Energy","Utilities","Electric Utilities","Medium",28,14.7,7.4,6.3,0.51,NA,NA,NA,NA,NA,NA,2021-03-03,11771893760
"22","ALL","Allstate Corp","Financials","Property & Casualty Insurance","Medium",23,1.6,8.7,12.7,0.31,NA,NA,NA,NA,NA,NA,2021-03-03,33464436736
"23","GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","Medium",23,0.5,9.9,12.5,0.31,NA,NA,NA,NA,NA,NA,2021-03-03,1395462504448
"24","GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395462766592
"25","MO","Altria Group Inc","Consumer Staples","Tobacco","Medium",25,5.8,13,6.5,0.4,NA,NA,NA,NA,NA,NA,2021-03-03,83120619520
"26","AMZN","Amazon.com Inc.","Consumer Discretionary","Internet & Direct Marketing Retail","Medium",27,5.1,12.5,9.8,0.47,NA,NA,NA,NA,NA,NA,2021-03-03,1558297051136
"27","AMCR","Amcor","Materials","Paper Packaging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17853431808
"28","AEE","Ameren Corp","Utilities","Multi-Utilities","High",34,15.5,12.2,6.4,0.71,NA,NA,NA,NA,NA,NA,2021-03-03,18218760192
"29","AAL","American Airlines Group","Industrials","Airlines","Medium",30,11.7,12.6,5.6,0.57,NA,NA,NA,NA,NA,NA,2021-03-03,13714654208
"30","AEP","American Electric Power","Utilities","Electric Utilities","High",34,19.3,9.8,5.3,0.72,NA,NA,NA,NA,NA,NA,2021-03-03,37965373440
"31","AXP","American Express","Financials","Consumer Finance","Low",20,0.1,9.9,9.8,0.2,NA,NA,NA,NA,NA,NA,2021-03-03,112178266112
"32","AIG","American International Group","Financials","Property & Casualty Insurance","High",31,2,13.6,15.2,0.6,NA,NA,NA,NA,NA,NA,2021-03-03,39745794048
"33","AMT","American Tower Corp.","Real Estate","Specialized REITs","Low",12,3.7,3.8,5,0.04,NA,NA,NA,NA,NA,NA,2021-03-03,92791824384
"34","AWK","American Water Works","Utilities","Water Utilities","Medium",29,13.4,10,5.7,0.53,NA,NA,NA,NA,NA,NA,2021-03-03,25336143872
"35","AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26361434112
"36","ABC","AmerisourceBergen","Health Care","Health Care Distributors","Negligible",13,1,6,6,0.04,NA,NA,NA,NA,NA,NA,2021-03-03,21340600320
"37","AME","Ametek","Industrials","Electrical Components & Equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28218728448
"38","AMGN","Amgen Inc.","Health Care","Biotechnology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130350874624
"39","APH","Amphenol Corp","Information Technology","Electronic Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38654418944
"40","ADI","Analog Devices, Inc.","Information Technology","Semiconductors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56916656128
"41","ANSS","ANSYS, Inc.","Information Technology","Application Software","Negligible",15,1,9,5,0.08,NA,NA,NA,NA,NA,NA,2021-03-03,29177231360
"42","ANTM","Anthem","Health Care","Managed Health Care","Negligible",12,0,7,5,0.03,NA,NA,NA,NA,NA,NA,2021-03-03,76327403520
"43","AON","Aon plc","Financials","Insurance Brokers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52548059136
