"","X","ticker","company","sector","industry","esgRating","esgScore.tot","esgScore.env","esgScore.soc","esgScore.gov","esgRank.tot","asOf","mktCap","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA","Price.Sales","Price.Book","SEC.Filings"
"1",1,"MMM","3M Company","Industrials","Industrial Conglomerates","High",35,12.8,14,8.4,0.74,"2021-03-03",102564405248,222.89,24.31,2.3328617,7.92,259.77,175.49,138721055226,9.048e+09,4.3902707,11.34,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM"
"2",2,"ABT","Abbott Laboratories","Health Care","Health Care Equipment","Medium",30,3,16.2,10.6,0.56,"2021-03-03",217065570304,56.27,22.51,1.9089824,0.26,64.6,42.28,102121042306,5.744e+09,3.7404804,3.19,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT"
"3",3,"ABBV","AbbVie Inc.","Health Care","Pharmaceuticals","Medium",29,0.6,17.1,11.3,0.54,"2021-03-03",190450155520,108.48,19.41,2.4995599,3.29,125.86,60.05,181386347059,1.031e+10,6.291571,26.14,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV"
"4",5,"ACN","Accenture","Information Technology","IT Consulting & Other Services","Low",11,0.6,5,5.8,0.02,"2021-03-03",171386028032,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553,5643228000,2.604117,10.62,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN"
"5",6,"ATVI","Activision Blizzard","Communication Services","Interactive Home Entertainment","Low",17,0.2,10.7,6.2,0.12,"2021-03-03",74957447168,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144,2.704e+09,10.59512,5.16,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI"
"6",7,"ADBE","Adobe Inc.","Information Technology","Application Software","Low",11,0.5,5.7,4.7,0.02,"2021-03-03",223356633088,185.16,52.31,0,3.39,204.45,114.451,94550214268,2538040000,13.092818,11.06,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE"
"7",9,"AAP","Advance Auto Parts","Consumer Discretionary","Automotive Retail","Low",12,0.1,8.7,3.3,0.03,"2021-03-03",10801041408,109.63,19.54,0.21832074,6.19,169.55,78.81,8123611867,853941000,1.1301061,2.51,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP"
"8",10,"AES","AES Corp","Utilities","Independent Power Producers & Energy Traders","High",33,18.8,8.8,5.8,0.69,"2021-03-03",17841518592,10.06,9.96,4.961832,-1.72,12.05,10,6920851212,3.001e+09,0.65951383,2.2,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES"
"9",11,"AFL","Aflac","Financials","Life & Health Insurance","Medium",23,2.5,7.9,12.9,0.32,"2021-03-03",33492871168,83.25,12.24,2.4299066,11.01,91.73,68.8,33422948000,0,1.5429344,1.53,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL"
"10",12,"A","Agilent Technologies","Health Care","Health Care Equipment","Low",17,0.9,9.4,6.3,0.11,"2021-03-03",37758296064,65.05,27.45,0.8756979,2.1,75,49.23,21984606918,1.094e+09,6.493563,4.56,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A"
